"predvar","matRRfit","matRRlow","matRRhigh","allRRfit","knots"
-6.8,1.0431280445441,0.996253322400828,1.09220826957163,1.0431280445441,1.36782299741602
-6.7,1.0433935077479,0.997623496495261,1.09126340331302,1.0433935077479,8.04197674418604
-6.6,1.04364524573048,0.998963710488059,1.09032529160013,1.04364524573048,14.3585852713178
-6.5,1.04388324852576,1.00027372742207,1.08939403953064,1.04388324852576,19.8504586563307
-6.4,1.04410750670992,1.00155330743537,1.08846975740067,1.04410750670992,NA
-6.3,1.04431801140207,1.00280220764966,1.08755256083339,1.04431801140207,NA
-6.2,1.0445147542648,1.00402018207917,1.08664257088691,1.0445147542648,NA
-6.1,1.04469772750475,1.00520698156556,1.08573991413568,1.04469772750475,NA
-6,1.04486692387313,1.00636235374584,1.08484472271885,1.04486692387313,NA
-5.9,1.04502233666619,1.0074860430607,1.08395713434759,1.04502233666619,NA
-5.8,1.04516395972566,1.00857779081249,1.08307729226264,1.04516395972566,NA
-5.7,1.04529178743916,1.00963733528288,1.08220534513179,1.04529178743916,NA
-5.6,1.04540581474056,1.01066441192204,1.08134144687552,1.04540581474056,NA
-5.5,1.04550603711034,1.01165875362229,1.08048575640782,1.04550603711034,NA
-5.4,1.04559245057587,1.01262009109116,1.0796384372773,1.04559245057587,NA
-5.3,1.04566505171168,1.01354815334013,1.07879965719226,1.04566505171168,NA
-5.2,1.04572383763965,1.01444266830704,1.07796958741175,1.04572383763965,NA
-5.1,1.04576880602929,1.01530336363161,1.07714840198317,1.04576880602929,NA
-5,1.04579995509779,1.01612996760517,1.07633627680539,1.04579995509779,NA
-4.9,1.04581728361019,1.01692221031626,1.07553338849552,1.04581728361019,NA
-4.8,1.04582079087948,1.01767982501496,1.07473991303671,1.04582079087948,NA
-4.7,1.0458104767666,1.01840254971866,1.07395602418409,1.0458104767666,NA
-4.6,1.04578634168048,1.01909012908118,1.07318189160708,1.04578634168048,NA
-4.5,1.045748386578,1.01974231654568,1.07241767874747,1.045748386578,NA
-4.4,1.04569661296392,1.02035887679868,1.07166354037606,1.04569661296392,NA
-4.3,1.04563102289081,1.02093958853816,1.07091961983489,1.04563102289081,NA
-4.2,1.04555161895888,1.02148424756248,1.07018604595825,1.04555161895888,NA
-4.1,1.04545840431584,1.02199267017875,1.0694629296739,1.04545840431584,NA
-4,1.04535138265665,1.0224646969191,1.06875036029594,1.04535138265665,NA
-3.9,1.04523055822332,1.02290019654104,1.06804840153338,1.04523055822332,NA
-3.8,1.04509593580461,1.02329907027361,1.06735708725239,1.04509593580461,NA
-3.7,1.04494752073572,1.02366125625512,1.06667641704669,1.04494752073572,NA
-3.6,1.04478531889791,1.0239867340908,1.06600635168756,1.04478531889791,NA
-3.5,1.04460933671814,1.02427552944114,1.06534680854292,1.04460933671814,NA
-3.4,1.04441958116867,1.02452771853393,1.06469765707214,1.04441958116867,NA
-3.3,1.04421605976653,1.02474343247804,1.06405871451896,1.04421605976653,NA
-3.2,1.04399878057308,1.02492286124395,1.06342974193709,1.04399878057308,NA
-3.1,1.04376775219346,1.02506625716833,1.06281044069143,1.04376775219346,NA
-3,1.04352298377603,1.02517393783805,1.06220044957956,1.04352298377603,NA
-2.9,1.04326448501174,1.0252462882138,1.06159934271308,1.04326448501174,NA
-2.8,1.04299226613352,1.02528376186662,1.06100662828585,1.04299226613352,NA
-2.7,1.04270633791559,1.02528688122125,1.06042174833478,1.04270633791559,NA
