"blup_predvar","blup_matRRfit","arron","first_stage_predvar","first_stage_blup_matRRfit"
-0.100000000000001,1.03942597765018,"Aalst",-0.100000000000001,1.03732256624247
0,1.03861594867005,"Aalst",0,1.03654491877157
0.0999999999999996,1.03782641305879,"Aalst",0.0999999999999996,1.03579355940589
0.199999999999999,1.03705732502811,"Aalst",0.199999999999999,1.03506843180986
0.3,1.03630863999764,"Aalst",0.3,1.03436948164036
0.399999999999999,1.03558031459065,"Aalst",0.399999999999999,1.03369665653995
0.5,1.03487230662988,"Aalst",0.5,1.03304990613032
0.6,1.0341845751334,"Aalst",0.6,1.03242918200603
0.699999999999999,1.03351708031076,"Aalst",0.699999999999999,1.03183443772843
0.8,1.03286978355904,"Aalst",0.8,1.03126562881992
0.899999999999999,1.03224264745922,"Aalst",0.899999999999999,1.03072271275838
1,1.03163563577253,"Aalst",1,1.03020564897183
1.1,1.03104871343697,"Aalst",1.1,1.02971439883348
1.2,1.03048184656394,"Aalst",1.2,1.02924892565681
1.3,1.02993500243495,"Aalst",1.3,1.02880919469108
1.4,1.02940730447614,"Aalst",1.4,1.02839390270959
1.5,1.02888700548885,"Aalst",1.5,1.02798540136599
1.6,1.02837034398445,"Aalst",1.6,1.02757804292176
1.7,1.02785731474646,"Aalst",1.7,1.02717182614665
1.8,1.02734791259674,"Aalst",1.8,1.02676674981418
1.9,1.0268421323954,"Aalst",1.9,1.02636281270162
2,1.02633996904077,"Aalst",2,1.02596001358996
2.1,1.02584141746927,"Aalst",2.1,1.02555835126397
2.2,1.02534647265533,"Aalst",2.2,1.02515782451211
2.3,1.0248551296113,"Aalst",2.3,1.02475843212657
2.4,1.0243673833874,"Aalst",2.4,1.02436017290328
2.5,1.0238832290716,"Aalst",2.5,1.02396304564186
2.6,1.02340266178954,"Aalst",2.6,1.02356704914565
2.7,1.02292567670449,"Aalst",2.7,1.02317218222168
2.8,1.0224522690172,"Aalst",2.8,1.02277844368068
2.9,1.0219824339659,"Aalst",2.9,1.02238583233706
3,1.02151616682614,"Aalst",3,1.02199434700894
3.1,1.02105346291076,"Aalst",3.1,1.02160398651807
3.2,1.02059431756981,"Aalst",3.2,1.02121474968991
3.3,1.02013872619046,"Aalst",3.3,1.02082663535356
3.4,1.01968668419692,"Aalst",3.4,1.0204396423418
3.5,1.01923818705036,"Aalst",3.5,1.02005376949104
3.6,1.01879323024886,"Aalst",3.6,1.01966901564136
3.7,1.01835180932731,"Aalst",3.7,1.01928537963646
3.8,1.01791391985733,"Aalst",3.8,1.01890286032368
3.9,1.01747955744724,"Aalst",3.9,1.01852145655401
4,1.01704871774192,"Aalst",4,1.01814116718203
4.1,1.0166213964228,"Aalst",4.1,1.01776199106597
4.2,1.01619758920773,"Aalst",4.2,1.01738392706765
4.3,1.01577729185098,"Aalst",4.3,1.0170069740525
4.4,1.01536050014308,"Aalst",4.4,1.01663113088958
4.5,1.01494720991084,"Aalst",4.5,1.01625639645149
4.6,1.01453741701721,"Aalst",4.6,1.01588276961447
4.7,1.01413111736125,"Aalst",4.7,1.01551024925832
4.8,1.01372830687805,"Aalst",4.8,1.01513883426643
4.9,1.01332898153867,"Aalst",4.9,1.01476852352575
5,1.01293313735005,"Aalst",5,1.0143993159268
5.1,1.01254077035496,"Aalst",5.1,1.01403121036367
5.2,1.01215187663196,"Aalst",5.2,1.01366420573401
5.3,1.01176645229526,"Aalst",5.3,1.013298300939
5.4,1.01138449349476,"Aalst",5.4,1.01293349488338
5.5,1.01100599641587,"Aalst",5.5,1.01256978647544
5.6,1.01063095727956,"Aalst",5.6,1.01220717462699
5.7,1.01025937234221,"Aalst",5.7,1.01184565825336
5.8,1.00989123789558,"Aalst",5.8,1.01148523627342
5.9,1.00952655026676,"Aalst",5.9,1.01112590760956
6,1.0091653058181,"Aalst",6,1.01076767118768
6.1,1.00880750094715,"Aalst",6.1,1.01041052593717
6.2,1.00845313208656,"Aalst",6.2,1.01005447079094
6.3,1.00810219570412,"Aalst",6.3,1.0096995046854
6.4,1.00775468830258,"Aalst",6.4,1.00934562656044
6.5,1.00741060641969,"Aalst",6.5,1.00899283535945
6.6,1.00706994662809,"Aalst",6.6,1.00864113002928
6.7,1.00673270553527,"Aalst",6.7,1.00829050952027
6.8,1.0063988797835,"Aalst",6.8,1.00794097278624
6.9,1.0060684660498,"Aalst",6.9,1.00759251878445
7,1.00574146104587,"Aalst",7,1.00724514647564
7.1,1.00541786151801,"Aalst",7.1,1.006898854824
7.2,1.00509766424712,"Aalst",7.2,1.00655364279717
7.3,1.00478086604861,"Aalst",7.3,1.00620950936623
7.4,1.00446746377235,"Aalst",7.4,1.00586645350571
7.5,1.00415745430263,"Aalst",7.5,1.00552447419356
7.6,1.00385083455808,"Aalst",7.6,1.00518357041118
7.7,1.00354760149168,"Aalst",7.7,1.00484374114338
7.8,1.00324775209062,"Aalst",7.8,1.00450498537839
7.9,1.00295128337635,"Aalst",7.9,1.00416730210785
8,1.00265819240444,"Aalst",8,1.00383069032682
8.1,1.00236903476914,"Aalst",8.1,1.00349627988209
8.2,1.0020862734238,"Aalst",8.2,1.00316906215152
8.3,1.0018101951465,"Aalst",8.3,1.0028496216478
8.4,1.00154079445706,"Aalst",8.4,1.00253795100853
8.5,1.00127806600878,"Aalst",8.5,1.00223404305188
8.6,1.00102200458832,"Aalst",8.6,1.00193789077633
8.7,1.00077260511552,"Aalst",8.7,1.0016494873604
8.8,1.0005298626432,"Aalst",8.8,1.00136882616236
8.9,1.00029377235702,"Aalst",8.9,1.00109590072002
9,1.00006432957535,"Aalst",9,1.00083070475046
9.1,0.999841529749027,"Aalst",9.1,1.00057323214976
9.2,0.99962536846131,"Aalst",9.2,1.00032347699283
9.3,0.999415841427662,"Aalst",9.3,1.00008143353313
9.4,0.999212944495638,"Aalst",9.4,0.99984709620245
9.5,0.999016673644739,"Aalst",9.5,0.999620459610743
9.6,0.998827024986284,"Aalst",9.6,0.999401518545869
9.7,0.998643994763277,"Aalst",9.7,0.99919026797342
9.8,0.998467579350289,"Aalst",9.8,0.99898670303652
9.9,0.998297775253329,"Aalst",9.9,0.998790819055643
10,0.998134579109739,"Aalst",10,0.998602611528428
10.1,0.997977987688077,"Aalst",10.1,0.99842207612951
10.2,0.99782799788801,"Aalst",10.2,0.998249208710356
10.3,0.997684606740215,"Aalst",10.3,0.998084005299102
10.4,0.997547811406279,"Aalst",10.4,0.997926462100403
10.5,0.997417609178606,"Aalst",10.5,0.99777657549529
10.6,0.997293997480326,"Aalst",10.6,0.997634342041025
10.7,0.997176973865212,"Aalst",10.7,0.997499758470977
10.8,0.9970665360176,"Aalst",10.8,0.99737282169449
10.9,0.99696268175231,"Aalst",10.9,0.997253528796771
11,0.996865409014575,"Aalst",11,0.997141877038774
11.1,0.996774715879974,"Aalst",11.1,0.997037863857095
11.2,0.996690600554369,"Aalst",11.2,0.996941486863878
11.3,0.996613061373842,"Aalst",11.3,0.996852743846719
11.4,0.996542096804647,"Aalst",11.4,0.996771632768586
11.5,0.996477705443153,"Aalst",11.5,0.996698151767735
11.6,0.9964198860158,"Aalst",11.6,0.996632299157646
11.7,0.996368637379057,"Aalst",11.7,0.996574073426951
11.8,0.996323958519388,"Aalst",11.8,0.996523473239384
11.9,0.99628584855321,"Aalst",11.9,0.996480497433722
12,0.996254306726872,"Aalst",12,0.996445145023748
12.1,0.996229332416627,"Aalst",12.1,0.996417415198206
12.2,0.996210925128612,"Aalst",12.2,0.996397307320777
12.3,0.996199084498829,"Aalst",12.3,0.996384820930049
12.4,0.996193810293138,"Aalst",12.4,0.996379955739503
12.5,0.996195102407244,"Aalst",12.5,0.996382711637501
12.6,0.996202960866699,"Aalst",12.6,0.99639308868728
12.7,0.996217385826898,"Aalst",12.7,0.996411087126958
12.8,0.996238377573087,"Aalst",12.8,0.996436707369538
12.9,0.99626593652037,"Aalst",12.9,0.99646995000293
13,0.996300063213727,"Aalst",13,0.996510815789968
13.1,0.996340758328027,"Aalst",13.1,0.996559305668443
13.2,0.996388022668054,"Aalst",13.2,0.996615420751137
13.3,0.996441857168529,"Aalst",13.3,0.996679162325864
13.4,0.996502262894147,"Aalst",13.4,0.996750531855524
13.5,0.996569241039607,"Aalst",13.5,0.996829530978154
13.6,0.996642792929655,"Aalst",13.6,0.996916161506994
13.7,0.996722920019123,"Aalst",13.7,0.997010425430555
13.8,0.996809623892983,"Aalst",13.8,0.997112324912694
13.9,0.996902906266393,"Aalst",13.9,0.997221862292699
14,0.99700276898476,"Aalst",14,0.997339040085377
14.1,0.997109214023795,"Aalst",14.1,0.997463860981153
14.2,0.997222243489581,"Aalst",14.2,0.997596327846166
14.3,0.997341859618644,"Aalst",14.3,0.997736443722389
14.4,0.997467312404089,"Aalst",14.4,0.997883128269193
14.5,0.997592088034488,"Aalst",14.5,0.998026999918863
14.6,0.997714680307706,"Aalst",14.6,0.99816588853169
14.7,0.997835088415017,"Aalst",14.7,0.99829979202164
14.8,0.997953311562035,"Aalst",14.8,0.998428708377368
14.9,0.99806934896873,"Aalst",14.9,0.99855263566227
15,0.998183199869431,"Aalst",15,0.998671572014531
15.1,0.998294863512839,"Aalst",15.1,0.998785515647173
15.2,0.998404339162032,"Aalst",15.2,0.998894464848098
15.3,0.998511626094473,"Aalst",15.3,0.998998417980133
15.4,0.998616723602022,"Aalst",15.4,0.999097373481066
15.5,0.998719630990938,"Aalst",15.5,0.999191329863694
15.6,0.998820347581891,"Aalst",15.6,0.99928028571585
15.7,0.998918872709967,"Aalst",15.7,0.999364239700447
15.8,0.999015205724679,"Aalst",15.8,0.999443190555506
15.9,0.999109345989968,"Aalst",15.9,0.999517137094189
16,0.999201292884215,"Aalst",16,0.999586078204831
16.1,0.999291045800248,"Aalst",16.1,0.999650012850965
16.2,0.999378604145344,"Aalst",16.2,0.999708940071349
16.3,0.999463967341241,"Aalst",16.3,0.999762858979991
16.4,0.99954713482414,"Aalst",16.4,0.999811768766168
16.5,0.999628106044715,"Aalst",16.5,0.999855668694451
16.6,0.999706880468115,"Aalst",16.6,0.999894558104722
16.7,0.999783457573974,"Aalst",16.7,0.999928436412185
16.8,0.999857836856413,"Aalst",16.8,0.999957303107391
16.9,0.99993001782405,"Aalst",16.9,0.99998115775624
17,1,"Aalst",17,1
17.1,1.00006778292188,"Aalst",17.1,1.00001382955531
17.2,1.00013336614183,"Aalst",17.2,1.0000226462142
17.3,1.0001967492265,"Aalst",17.3,1.00002644984407
17.4,1.00025793175704,"Aalst",17.4,1.00002524038772
17.5,1.00031691332914,"Aalst",17.5,1.00001901786334
17.6,1.00037369355304,"Aalst",17.6,1.0000077823645
17.7,1.00042827205347,"Aalst",17.7,0.999991534060188
17.8,1.00048064846974,"Aalst",17.8,0.999970273194739
17.9,1.00053082245566,"Aalst",17.9,0.999944000087887
18,1.00057879367963,"Aalst",18,0.999912715134731
18.1,1.00062456182455,"Aalst",18.1,0.99987641880573
18.2,1.00066812658792,"Aalst",18.2,0.99983511164669
18.3,1.00070948768175,"Aalst",18.3,0.999788794278755
18.4,1.00074864483265,"Aalst",18.4,0.999737467398384
18.5,1.00078559778177,"Aalst",18.5,0.999681131777338
18.6,1.00082034628482,"Aalst",18.6,0.999619788262662
18.7,1.00085289011208,"Aalst",18.7,0.999553437776661
18.8,1.00088322904843,"Aalst",18.8,0.999482081316876
18.9,1.00091136289327,"Aalst",18.9,0.999405719956064
19,1.00093729146061,"Aalst",19,0.999324354842165
19.1,1.00096101457904,"Aalst",19.1,0.999237987198278
19.2,1.0009825320917,"Aalst",19.2,0.999146618322626
19.3,1.00100184385634,"Aalst",19.3,0.999050249588529
19.4,1.00101894974526,"Aalst",19.4,0.998948882444365
19.5,1.00103384964538,"Aalst",19.5,0.998842518413535
19.6,1.00104654345817,"Aalst",19.6,0.998731159094425
19.7,1.00105703109971,"Aalst",19.7,0.998614806160367
19.8,1.00106531250066,"Aalst",19.8,0.998493461359595
19.9,1.00110102980772,"Aalst",19.9,0.998399670215737
20,1.0013453729816,"Aalst",20,0.998532323678023
20.1,1.00182926722324,"Aalst",20.1,0.998925289790077
20.2,1.00255305975935,"Aalst",20.2,0.999578875884332
20.3,1.00351727016846,"Aalst",20.3,1.00049359329837
